respondent_id,genre_slug,interest_level
1001,RQ.2.34,1
1001,RQ.2.38,3
1001,RQ.2.48,2
1001,RQ.2.57,5
1001,RQ.2.78,1
1001,RQ.2.97,3
1001,RQ.2.125,5
1001,RQ.2.162,2
1001,RQ.2.172,4
1001,RQ.2.173,3
1002,RQ.2.34,1
1002,RQ.2.38,3
1002,RQ.2.48,1
1002,RQ.2.57,4
1002,RQ.2.78,1
1002,RQ.2.97,4
1002,RQ.2.125,5
1002,RQ.2.162,2
1002,RQ.2.172,3
1002,RQ.2.173,4
1003,RQ.2.34,2
1003,RQ.2.38,3
1003,RQ.2.48,2
1003,RQ.2.57,5
1003,RQ.2.78,1
1003,RQ.2.97,3
1003,RQ.2.125,4
1003,RQ.2.162,1
1003,RQ.2.172,3
1003,RQ.2.173,3
1004,RQ.2.34,4
1004,RQ.2.38,1
1004,RQ.2.48,2
1004,RQ.2.57,5
1004,RQ.2.78,2
1004,RQ.2.97,1
1004,RQ.2.125,4
1004,RQ.2.162,2
1004,RQ.2.172,3
1004,RQ.2.173,1
1005,RQ.2.34,4
1005,RQ.2.38,2
1005,RQ.2.48,3
1005,RQ.2.57,4
1005,RQ.2.78,2
1005,RQ.2.97,1
1005,RQ.2.125,4
1005,RQ.2.162,2
1005,RQ.2.172,3
1005,RQ.2.173,1
1006,RQ.2.34,3
1006,RQ.2.38,1
1006,RQ.2.48,2
1006,RQ.2.57,5
1006,RQ.2.78,2
1006,RQ.2.97,1
1006,RQ.2.125,4
1006,RQ.2.162,2
1006,RQ.2.172,2
1006,RQ.2.173,1
1007,RQ.2.34,4
1007,RQ.2.38,3
1007,RQ.2.48,3
1007,RQ.2.57,1
1007,RQ.2.78,3
1007,RQ.2.97,5
1007,RQ.2.125,1
1007,RQ.2.162,2
1007,RQ.2.172,4
1007,RQ.2.173,5
1008,RQ.2.34,4
1008,RQ.2.38,2
1008,RQ.2.48,3
1008,RQ.2.57,1
1008,RQ.2.78,3
1008,RQ.2.97,4
1008,RQ.2.125,2
1008,RQ.2.162,2
1008,RQ.2.172,4
1008,RQ.2.173,4
1009,RQ.2.34,5
1009,RQ.2.38,3
1009,RQ.2.48,4
1009,RQ.2.57,1
1009,RQ.2.78,4
1009,RQ.2.97,5
1009,RQ.2.125,2
1009,RQ.2.162,3
1009,RQ.2.172,5
1009,RQ.2.173,5
1010,RQ.2.34,4
1010,RQ.2.38,2
1010,RQ.2.48,1
1010,RQ.2.57,5
1010,RQ.2.78,3
1010,RQ.2.97,2
1010,RQ.2.125,4
1010,RQ.2.162,1
1010,RQ.2.172,1
1010,RQ.2.173,3
1011,RQ.2.34,3
1011,RQ.2.38,2
1011,RQ.2.48,1
1011,RQ.2.57,5
1011,RQ.2.78,2
1011,RQ.2.97,3
1011,RQ.2.125,4
1011,RQ.2.162,1
1011,RQ.2.172,1
1011,RQ.2.173,3
1012,RQ.2.34,4
1012,RQ.2.38,1
1012,RQ.2.48,1
1012,RQ.2.57,5
1012,RQ.2.78,3
1012,RQ.2.97,2
1012,RQ.2.125,3
1012,RQ.2.162,1
1012,RQ.2.172,1
1012,RQ.2.173,2
